# TEST CONFIGURATION BEGIN
# FileStream(filename='test.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='converted_data_stream.csv', pretrain_size=200, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,0.000000,0.000000
399,0.695000,0.695000,0.070122,0.070122
599,0.690000,0.685000,0.031250,0.000000
799,0.705000,0.735000,0.021198,-0.009524
999,0.717500,0.755000,0.016664,-0.009893
1199,0.717000,0.715000,0.012905,0.000000
1399,0.720833,0.740000,0.039766,0.165061
1599,0.730714,0.790000,0.054386,0.159159
1799,0.731875,0.740000,0.059082,0.093603
1999,0.723333,0.655000,0.053302,0.002890
2199,0.717000,0.660000,0.045879,-0.017203
2399,0.716364,0.710000,0.039319,-0.029281
2599,0.720417,0.765000,0.039526,0.034908
2799,0.723462,0.760000,0.076110,0.385875
2999,0.722500,0.710000,0.097312,0.281556
3199,0.720667,0.695000,0.116792,0.273982
3399,0.720938,0.725000,0.139054,0.360168
3599,0.716765,0.650000,0.141281,0.180616
3799,0.721389,0.800000,0.157959,0.453627
3999,0.718421,0.665000,0.169389,0.267119
4199,0.723000,0.810000,0.183352,0.455509
4399,0.724524,0.755000,0.192455,0.368231
4599,0.724773,0.730000,0.200570,0.337505
4799,0.725652,0.745000,0.204400,0.307818
4999,0.727500,0.770000,0.213975,0.409651
5199,0.730000,0.790000,0.223215,0.440299
5399,0.730962,0.755000,0.230002,0.375796
5599,0.731111,0.735000,0.231346,0.264910
5799,0.732679,0.775000,0.236777,0.387755
5999,0.734138,0.775000,0.240954,0.360977
6199,0.735667,0.780000,0.246232,0.397260
6399,0.736774,0.770000,0.250051,0.362528
6599,0.737969,0.775000,0.255207,0.404447
6799,0.738485,0.755000,0.257015,0.315451
6999,0.740294,0.800000,0.262884,0.460553
7031,0.740632,0.805000,0.263422,0.461623
